AJAAA 1000 600 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5]
KJJKK 999 600 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0]
QQQJJ 998 600 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0]
QJQQQ 997 600 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0]
TJTTT 996 600 [0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0]
TJTTJ 995 600 [0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0]
999J9 994 600 [0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0]
9J9JJ 993 600 [0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0]
8888J 992 600 [0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0]
888JJ 991 600 [0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0]
7JJ77 990 600 [0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0]
666J6 989 600 [0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0]
555J5 988 600 [0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0]
555JJ 987 600 [0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0]
3333J 986 600 [0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
222JJ 985 600 [5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
2J222 984 600 [5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
JKKKK 983 600 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0]
J99J9 982 600 [0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0]
J8JJJ 981 600 [0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0]
J7777 980 600 [0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0]
J4444 979 600 [0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
J44JJ 978 600 [0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
J4JJJ 977 600 [0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
JJAAA 976 600 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5]
JJ444 975 600 [0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
JJJJJ 974 600 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5]
AAAAT 973 500 [0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 4]
AAA5A 972 500 [0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 4]
AAA4A 971 500 [0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4]
AAA2A 970 500 [1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4]
AAQAJ 969 500 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 4]
AA8AA 968 500 [0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 4]
AA7AA 967 500 [0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 4]
AA6JA 966 500 [0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 4]
AAJ4A 965 500 [0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4]
AAJJK 964 500 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4]
A8888 963 500 [0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 1]
A4444 962 500 [0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
KAKKK 961 500 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1]
KKAJK 960 500 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1]
KKK9K 959 500 [0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 4, 0]
KKK9J 958 500 [0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 4, 0]
KKK7K 957 500 [0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 4, 0]
KKK5K 956 500 [0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 4, 0]
KKQKK 955 500 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 0]
KKJK5 954 500 [0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 4, 0]
KQQQQ 953 500 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 0]
K8KKK 952 500 [0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 4, 0]
K6KKK 951 500 [0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 4, 0]
K4KKK 950 500 [0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0]
K222J 949 500 [4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]
KJ6KK 948 500 [0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 4, 0]
QQQAQ 947 500 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 1]
QQ8QQ 946 500 [0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 4, 0, 0]
QTTTT 945 500 [0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 1, 0, 0]
Q9QQQ 944 500 [0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 4, 0, 0]
Q4444 943 500 [0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]
Q2QQQ 942 500 [1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0]
Q2222 941 500 [4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]
QJ666 940 500 [0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 0, 0]
TKTJT 939 500 [0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 1, 0]
TTT6T 938 500 [0, 0, 0, 0, 1, 0, 0, 0, 4, 0, 0, 0, 0]
TTT3J 937 500 [0, 1, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0]
TT7TT 936 500 [0, 0, 0, 0, 0, 1, 0, 0, 4, 0, 0, 0, 0]
TT2TT 935 500 [1, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0]
TTJQT 934 500 [0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 1, 0, 0]
T5TTT 933 500 [0, 0, 0, 1, 0, 0, 0, 0, 4, 0, 0, 0, 0]
T4TTT 932 500 [0, 0, 1, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0]
9K999 931 500 [0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 0]
99T99 930 500 [0, 0, 0, 0, 0, 0, 0, 4, 1, 0, 0, 0, 0]
9999A 929 500 [0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 1]
99996 928 500 [0, 0, 0, 0, 1, 0, 0, 4, 0, 0, 0, 0, 0]
99992 927 500 [1, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0]
9998J 926 500 [0, 0, 0, 0, 0, 0, 1, 4, 0, 0, 0, 0, 0]
99979 925 500 [0, 0, 0, 0, 0, 1, 0, 4, 0, 0, 0, 0, 0]
99J9T 924 500 [0, 0, 0, 0, 0, 0, 0, 4, 1, 0, 0, 0, 0]
99J59 923 500 [0, 0, 0, 1, 0, 0, 0, 4, 0, 0, 0, 0, 0]
95999 922 500 [0, 0, 0, 1, 0, 0, 0, 4, 0, 0, 0, 0, 0]
94444 921 500 [0, 0, 4, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]
939J9 920 500 [0, 1, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0]
9J66J 919 500 [0, 0, 0, 0, 4, 0, 0, 1, 0, 0, 0, 0, 0]
8KJKK 918 500 [0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 4, 0]
8TTTT 917 500 [0, 0, 0, 0, 0, 0, 1, 0, 4, 0, 0, 0, 0]
8T888 916 500 [0, 0, 0, 0, 0, 0, 4, 0, 1, 0, 0, 0, 0]
88Q88 915 500 [0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 0, 0]
88988 914 500 [0, 0, 0, 0, 0, 0, 4, 1, 0, 0, 0, 0, 0]
88848 913 500 [0, 0, 1, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0]
8858J 912 500 [0, 0, 0, 1, 0, 0, 4, 0, 0, 0, 0, 0, 0]
88J28 911 500 [1, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0]
86666 910 500 [0, 0, 0, 0, 4, 0, 1, 0, 0, 0, 0, 0, 0]
84444 909 500 [0, 0, 4, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]
83J33 908 500 [0, 4, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]
8JQ88 907 500 [0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 0, 0]
8J222 906 500 [4, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]
8JJA8 905 500 [0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 1]
7QQQQ 904 500 [0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 4, 0, 0]
7QQJQ 903 500 [0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 4, 0, 0]
77K77 902 500 [0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 0]
777Q7 901 500 [0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 0, 0]
77797 900 500 [0, 0, 0, 0, 0, 4, 0, 1, 0, 0, 0, 0, 0]
